#BJD	p/s	type	error	ref
2450223.362028	1	ccd	4.00E-05	kilkenny	et	al	1998
2450223.463158	1	ccd	2.00E-05	kilkenny	et	al	1998
2450224.372228	1	ccd	3.00E-05	kilkenny	et	al	1998
2450224.473278	1	ccd	3.00E-05	kilkenny	et	al	1998
2450230.231079	1	pe	2.00E-05	kilkenny	et	al	1998
2450244.272369	1	pe	4.00E-05	kilkenny	et	al	1998
2450245.282569	1	pe	4.00E-05	kilkenny	et	al	1998
2450245.383529	1	pe	5.00E-05	kilkenny	et	al	1998
2450252.25264	1	pe	5.00E-05	kilkenny	et	al	1998
2450274.27407	1	pe	7.00E-05	kilkenny	et	al	1998
2450513.480011	1	ccd	5.00E-05	kilkenny	et	al	2000
2450513.581021	1	ccd	5.00E-05	kilkenny	et	al	2000
2450554.492523	1	ccd	5.00E-05	kilkenny	et	al	2000
2450556.411843	1	ccd	5.00E-05	kilkenny	et	al	2000
2450572.372444	1	pe	5.00E-05	kilkenny	et	al	2000
2450573.281494	1	pe	5.00E-05	kilkenny	et	al	2000
2450632.274858	1	pe	5.00E-05	kilkenny	et	al	2000
2450635.305358	1	pe	5.00E-05	kilkenny	et	al	2000
2450637.224608	1	pe	5.00E-05	kilkenny	et	al	2000
2450638.234828	1	pe	5.00E-05	kilkenny	et	al	2000
2450640.255189	1	pe	5.00E-05	kilkenny	et	al	2000
2450932.393449	1	pe	5.00E-05	kilkenny	et	al	2000
2450948.35395	1	pe	5.00E-05	kilkenny	et	al	2000
2451018.257001	1	ccd	5.00E-05	kilkenny	et	al	2000
2451020.277301	1	ccd	5.00E-05	kilkenny	et	al	2000
2451209.581276	1	pe	5.00E-05	kilkenny	et	al	2000
2451234.532246	1	pe	5.00E-05	kilkenny	et	al	2000
2451278.373187	1	pe	0.0001	ogloza	et	al	2000
2451278.474187	1	pe	0.0002	ogloza	et	al	2000
2451278.574987	1	pe	0.0002	ogloza	et	al	2000
2451281.302787	1	pe	0.0002	ogloza	et	al	2000
2451283.322888	1	pe	0.0002	ogloza	et	al	2000
2451283.423888	1	pe	0.0002	ogloza	et	al	2000
2451284.534988	1	pe	0.0002	ogloza	et	al	2000
2452017.40603	1	pe	3.00E-05	kilkenny	2011		
2452017.50707	1	pe	6.00E-05	kilkenny	2011		
2452017.60808	1	pe	4.00E-05	kilkenny	2011		
2452019.52742	1	pe	5.00E-05	kilkenny	2011		
2453174.24093	1	ccd	7.00E-05	kilkenny	2011		
2453185.25163	1	ccd	4.00E-05	kilkenny	2011		
2453412.53767	1	ccd	4.00E-05	kilkenny	2011		
2453509.51295201	1	ccd	0.00000190	VLT_r			
2453509.51295586	1	ccd	0.00000204	VLT_g			
2453509.61398330	1	ccd	0.00000343	VLT_g			
2453509.61398337	1	ccd	0.00000324	VLT_r			
2453562.24327	1	ccd	3.00E-05	kilkenny	2011		
